developer_id,developer_name,team_name,seniority_level,primary_ide,timezone
101,Marcus Vance 1,Infra & CI/CD,Senior,VS Code,UTC-8 (PST)
102,Nia Campbell 2,Frontend Platform,Senior,VS Code,UTC-5 (EST)
103,Fatima Al-Mansoor 3,Core Engine,Mid-Level,IntelliJ IDEA,UTC+5:30 (IST)
104,Devon Brooks 4,Core Engine,Mid-Level,IntelliJ IDEA,UTC-5 (EST)
105,Elena Rostova 5,Frontend Platform,Junior,VS Code,UTC-5 (EST)
106,Marcus Vance 6,Product Eng,Mid-Level,VS Code,UTC+0 (GMT)
107,Felix Dupont 7,Frontend Platform,Junior,IntelliJ IDEA,UTC-8 (PST)
108,Devon Brooks 8,Infra & CI/CD,Mid-Level,VS Code,UTC-8 (PST)
109,Devon Brooks 9,Data Platform,Mid-Level,PyCharm,UTC-8 (PST)
110,Morgan Lee 10,Frontend Platform,Mid-Level,IntelliJ IDEA,UTC-8 (PST)
111,Elena Rostova 11,Product Eng,Mid-Level,VS Code,UTC-8 (PST)
112,Taylor Chen 12,Product Eng,Junior,VS Code,UTC-8 (PST)
113,Jordan Smith 13,Frontend Platform,Junior,Neovim,UTC+0 (GMT)
114,Chloe Bennett 14,Frontend Platform,Senior,VS Code,UTC-8 (PST)
115,Samira Khan 15,Frontend Platform,Mid-Level,VS Code,UTC-5 (EST)
116,Jordan Smith 16,Frontend Platform,Junior,PyCharm,UTC+5:30 (IST)
117,Alex Rivera 17,Core Engine,Mid-Level,PyCharm,UTC-5 (EST)
118,Chloe Bennett 18,Infra & CI/CD,Senior,Neovim,UTC+0 (GMT)
119,Chloe Bennett 19,Infra & CI/CD,Mid-Level,IntelliJ IDEA,UTC-8 (PST)
120,Zoe Washington 20,Core Engine,Senior,VS Code,UTC-8 (PST)
121,Aria Patel 21,Frontend Platform,Junior,VS Code,UTC-8 (PST)
122,Lucas Meyer 22,Product Eng,Junior,IntelliJ IDEA,UTC-8 (PST)
123,Fatima Al-Mansoor 23,Core Engine,Mid-Level,IntelliJ IDEA,UTC-8 (PST)
124,Fatima Al-Mansoor 24,Core Engine,Mid-Level,VS Code,UTC-8 (PST)
125,Felix Dupont 25,Frontend Platform,Senior,PyCharm,UTC-8 (PST)
126,Chloe Bennett 26,Product Eng,Senior,VS Code,UTC-8 (PST)
127,Nia Campbell 27,Core Engine,Staff/Lead,VS Code,UTC-5 (EST)
128,Taylor Chen 28,Data Platform,Mid-Level,VS Code,UTC-8 (PST)
129,Casey Johnson 29,Data Platform,Mid-Level,VS Code,UTC-5 (EST)
130,Felix Dupont 30,Core Engine,Senior,VS Code,UTC-5 (EST)
131,Marcus Vance 31,Data Platform,Mid-Level,VS Code,UTC+0 (GMT)
132,Liam O'Connor 32,Frontend Platform,Mid-Level,VS Code,UTC-8 (PST)
133,Marcus Vance 33,Infra & CI/CD,Junior,IntelliJ IDEA,UTC+1 (CET)
134,Ananya Sharma 34,Infra & CI/CD,Junior,IntelliJ IDEA,UTC+0 (GMT)
135,Morgan Lee 35,Infra & CI/CD,Staff/Lead,IntelliJ IDEA,UTC-8 (PST)
136,Mateo Silva 36,Core Engine,Senior,Neovim,UTC+5:30 (IST)
137,Ananya Sharma 37,Product Eng,Senior,VS Code,UTC+5:30 (IST)
138,Liam O'Connor 38,Frontend Platform,Mid-Level,VS Code,UTC-8 (PST)
139,Jordan Smith 39,Core Engine,Junior,PyCharm,UTC-8 (PST)
140,Nia Campbell 40,Core Engine,Junior,VS Code,UTC+1 (CET)
141,Fatima Al-Mansoor 41,Infra & CI/CD,Mid-Level,Neovim,UTC+1 (CET)
142,Marcus Vance 42,Data Platform,Mid-Level,VS Code,UTC-8 (PST)
143,Chloe Bennett 43,Core Engine,Senior,Neovim,UTC-8 (PST)
144,Elena Rostova 44,Infra & CI/CD,Senior,VS Code,UTC-5 (EST)
145,Fatima Al-Mansoor 45,Core Engine,Mid-Level,PyCharm,UTC-5 (EST)
146,Taylor Chen 46,Infra & CI/CD,Staff/Lead,IntelliJ IDEA,UTC+0 (GMT)
147,Mateo Silva 47,Core Engine,Senior,Neovim,UTC-5 (EST)
148,Zoe Washington 48,Data Platform,Mid-Level,VS Code,UTC-5 (EST)
149,Morgan Lee 49,Frontend Platform,Senior,IntelliJ IDEA,UTC+1 (CET)
150,Ananya Sharma 50,Product Eng,Mid-Level,Neovim,UTC-8 (PST)
151,Elena Rostova 51,Core Engine,Mid-Level,IntelliJ IDEA,UTC-8 (PST)
152,Morgan Lee 52,Frontend Platform,Mid-Level,IntelliJ IDEA,UTC+1 (CET)
153,Jordan Smith 53,Core Engine,Senior,IntelliJ IDEA,UTC+5:30 (IST)
154,Samira Khan 54,Product Eng,Junior,VS Code,UTC-5 (EST)
155,Aria Patel 55,Product Eng,Junior,IntelliJ IDEA,UTC-5 (EST)
156,Morgan Lee 56,Frontend Platform,Junior,IntelliJ IDEA,UTC-8 (PST)
157,Ananya Sharma 57,Data Platform,Junior,PyCharm,UTC-5 (EST)
158,Chloe Bennett 58,Product Eng,Senior,VS Code,UTC-5 (EST)
159,Jordan Smith 59,Infra & CI/CD,Senior,VS Code,UTC-8 (PST)
160,Aria Patel 60,Infra & CI/CD,Mid-Level,Neovim,UTC-8 (PST)
161,Morgan Lee 61,Core Engine,Junior,PyCharm,UTC-5 (EST)
162,Mateo Silva 62,Core Engine,Mid-Level,VS Code,UTC-8 (PST)
163,Lucas Meyer 63,Product Eng,Mid-Level,IntelliJ IDEA,UTC-5 (EST)
164,Fatima Al-Mansoor 64,Product Eng,Junior,VS Code,UTC-8 (PST)
165,Elena Rostova 65,Infra & CI/CD,Mid-Level,VS Code,UTC-5 (EST)
166,Mateo Silva 66,Frontend Platform,Mid-Level,VS Code,UTC-8 (PST)
167,Elena Rostova 67,Frontend Platform,Senior,VS Code,UTC+5:30 (IST)
168,Lucas Meyer 68,Data Platform,Senior,IntelliJ IDEA,UTC+0 (GMT)
169,Hiroshi Tanaka 69,Product Eng,Junior,VS Code,UTC+0 (GMT)
170,Ananya Sharma 70,Product Eng,Mid-Level,Neovim,UTC+1 (CET)
171,Fatima Al-Mansoor 71,Data Platform,Senior,Neovim,UTC-5 (EST)
172,Hiroshi Tanaka 72,Infra & CI/CD,Mid-Level,IntelliJ IDEA,UTC-8 (PST)
173,Liam O'Connor 73,Core Engine,Senior,IntelliJ IDEA,UTC-5 (EST)
174,Fatima Al-Mansoor 74,Core Engine,Senior,VS Code,UTC+0 (GMT)
175,Hiroshi Tanaka 75,Product Eng,Junior,PyCharm,UTC+1 (CET)
176,Alex Rivera 76,Infra & CI/CD,Junior,IntelliJ IDEA,UTC-5 (EST)
177,Marcus Vance 77,Core Engine,Senior,VS Code,UTC-8 (PST)
178,Liam O'Connor 78,Core Engine,Junior,PyCharm,UTC-8 (PST)
179,Alex Rivera 79,Data Platform,Mid-Level,PyCharm,UTC-5 (EST)
180,Chloe Bennett 80,Core Engine,Staff/Lead,PyCharm,UTC+0 (GMT)
181,Elena Rostova 81,Core Engine,Mid-Level,IntelliJ IDEA,UTC+0 (GMT)
182,Devon Brooks 82,Infra & CI/CD,Mid-Level,IntelliJ IDEA,UTC-5 (EST)
183,Felix Dupont 83,Data Platform,Senior,VS Code,UTC+5:30 (IST)
184,Zoe Washington 84,Data Platform,Mid-Level,PyCharm,UTC+0 (GMT)
185,Elena Rostova 85,Core Engine,Mid-Level,PyCharm,UTC-8 (PST)
186,Taylor Chen 86,Data Platform,Staff/Lead,VS Code,UTC-8 (PST)
187,Taylor Chen 87,Core Engine,Mid-Level,VS Code,UTC-8 (PST)
188,Alex Rivera 88,Frontend Platform,Staff/Lead,VS Code,UTC-8 (PST)
189,Casey Johnson 89,Data Platform,Staff/Lead,PyCharm,UTC-8 (PST)
190,Aria Patel 90,Infra & CI/CD,Junior,Neovim,UTC-8 (PST)
191,Marcus Vance 91,Product Eng,Junior,VS Code,UTC-8 (PST)
192,Liam O'Connor 92,Data Platform,Junior,IntelliJ IDEA,UTC-8 (PST)
193,Marcus Vance 93,Infra & CI/CD,Junior,VS Code,UTC+5:30 (IST)
194,Liam O'Connor 94,Core Engine,Junior,Neovim,UTC-8 (PST)
195,Elena Rostova 95,Frontend Platform,Senior,PyCharm,UTC-5 (EST)
196,Chloe Bennett 96,Frontend Platform,Junior,PyCharm,UTC-5 (EST)
197,Jordan Smith 97,Core Engine,Mid-Level,VS Code,UTC+5:30 (IST)
198,Alex Rivera 98,Product Eng,Senior,VS Code,UTC-8 (PST)
199,Lucas Meyer 99,Frontend Platform,Junior,VS Code,UTC-5 (EST)
200,Casey Johnson 100,Product Eng,Senior,VS Code,UTC+5:30 (IST)
201,Taylor Chen 101,Infra & CI/CD,Mid-Level,PyCharm,UTC+5:30 (IST)
202,Chloe Bennett 102,Data Platform,Junior,PyCharm,UTC+1 (CET)
203,Elena Rostova 103,Infra & CI/CD,Senior,Neovim,UTC-8 (PST)
204,Taylor Chen 104,Infra & CI/CD,Senior,Neovim,UTC-8 (PST)
205,Alex Rivera 105,Frontend Platform,Senior,IntelliJ IDEA,UTC+0 (GMT)
206,Taylor Chen 106,Core Engine,Senior,IntelliJ IDEA,UTC+5:30 (IST)
207,Casey Johnson 107,Data Platform,Senior,PyCharm,UTC+0 (GMT)
208,Fatima Al-Mansoor 108,Frontend Platform,Mid-Level,PyCharm,UTC+0 (GMT)
209,Mateo Silva 109,Core Engine,Junior,VS Code,UTC-8 (PST)
210,Taylor Chen 110,Infra & CI/CD,Senior,VS Code,UTC+1 (CET)
211,Alex Rivera 111,Core Engine,Senior,VS Code,UTC-8 (PST)
212,Casey Johnson 112,Product Eng,Staff/Lead,Neovim,UTC-5 (EST)
213,Mateo Silva 113,Product Eng,Mid-Level,IntelliJ IDEA,UTC-5 (EST)
214,Marcus Vance 114,Product Eng,Mid-Level,VS Code,UTC-5 (EST)
215,Liam O'Connor 115,Frontend Platform,Senior,IntelliJ IDEA,UTC-8 (PST)
216,Fatima Al-Mansoor 116,Core Engine,Mid-Level,IntelliJ IDEA,UTC-8 (PST)
217,Fatima Al-Mansoor 117,Product Eng,Staff/Lead,VS Code,UTC+0 (GMT)
218,Aria Patel 118,Frontend Platform,Senior,VS Code,UTC-8 (PST)
219,Hiroshi Tanaka 119,Product Eng,Mid-Level,IntelliJ IDEA,UTC+0 (GMT)
220,Felix Dupont 120,Product Eng,Senior,IntelliJ IDEA,UTC-8 (PST)
221,Marcus Vance 121,Product Eng,Senior,IntelliJ IDEA,UTC-5 (EST)
222,Zoe Washington 122,Frontend Platform,Junior,IntelliJ IDEA,UTC-5 (EST)
223,Nia Campbell 123,Frontend Platform,Staff/Lead,PyCharm,UTC-8 (PST)
224,Morgan Lee 124,Product Eng,Mid-Level,IntelliJ IDEA,UTC-5 (EST)
225,Casey Johnson 125,Frontend Platform,Senior,IntelliJ IDEA,UTC-8 (PST)
226,Marcus Vance 126,Core Engine,Mid-Level,PyCharm,UTC-8 (PST)
227,Hiroshi Tanaka 127,Infra & CI/CD,Senior,VS Code,UTC+5:30 (IST)
228,Fatima Al-Mansoor 128,Product Eng,Mid-Level,VS Code,UTC-5 (EST)
229,Devon Brooks 129,Data Platform,Junior,VS Code,UTC+1 (CET)
230,Morgan Lee 130,Infra & CI/CD,Staff/Lead,IntelliJ IDEA,UTC-8 (PST)
231,Hiroshi Tanaka 131,Core Engine,Junior,IntelliJ IDEA,UTC+0 (GMT)
232,Marcus Vance 132,Infra & CI/CD,Mid-Level,IntelliJ IDEA,UTC+1 (CET)
233,Felix Dupont 133,Product Eng,Staff/Lead,VS Code,UTC+0 (GMT)
234,Jordan Smith 134,Core Engine,Staff/Lead,VS Code,UTC-5 (EST)
235,Aria Patel 135,Infra & CI/CD,Mid-Level,VS Code,UTC-5 (EST)
236,Hiroshi Tanaka 136,Product Eng,Senior,VS Code,UTC-5 (EST)
237,Samira Khan 137,Data Platform,Mid-Level,IntelliJ IDEA,UTC+5:30 (IST)
238,Chloe Bennett 138,Data Platform,Mid-Level,VS Code,UTC+1 (CET)
239,Chloe Bennett 139,Data Platform,Mid-Level,VS Code,UTC+5:30 (IST)
240,Nia Campbell 140,Frontend Platform,Senior,PyCharm,UTC-8 (PST)
241,Devon Brooks 141,Frontend Platform,Senior,VS Code,UTC+1 (CET)
242,Marcus Vance 142,Product Eng,Senior,IntelliJ IDEA,UTC+5:30 (IST)
243,Alex Rivera 143,Product Eng,Senior,IntelliJ IDEA,UTC-8 (PST)
244,Alex Rivera 144,Product Eng,Junior,VS Code,UTC-8 (PST)
245,Nia Campbell 145,Product Eng,Mid-Level,IntelliJ IDEA,UTC+1 (CET)
246,Hiroshi Tanaka 146,Infra & CI/CD,Junior,PyCharm,UTC+0 (GMT)
247,Liam O'Connor 147,Infra & CI/CD,Mid-Level,PyCharm,UTC+1 (CET)
248,Taylor Chen 148,Data Platform,Mid-Level,VS Code,UTC-8 (PST)
249,Marcus Vance 149,Infra & CI/CD,Senior,PyCharm,UTC+1 (CET)
250,Samira Khan 150,Data Platform,Mid-Level,VS Code,UTC-8 (PST)
